,Time,Probability,mCherry-CAT,MeanTxRed,count,yerrorbars
0,0.0,0.38524590163934425,bottom 50%,50.35225409836065,122.0,0.04405952539401862
0,0.0,0.37398373983739835,top 50%,81.42951219512199,123.0,0.043628131278088705
0,3.0,0.49411764705882355,bottom 50%,9.538129411764702,85.0,0.054228861202681646
0,3.0,0.4117647058823529,top 50%,22.225835294117648,85.0,0.05338148311606059
0,6.0,0.1111111111111111,bottom 50%,0.3160888888888889,90.0,0.03312693299999688
0,6.0,0.26373626373626374,top 50%,4.394516483516484,91.0,0.046193506861003514
0,10.0,0.0,bottom 50%,-0.5143118279569892,93.0,0.0
0,10.0,0.0,top 50%,2.109148936170213,94.0,0.0
0,20.0,0.0,bottom 50%,-0.1073728813559323,177.0,0.0
0,20.0,0.0,top 50%,2.416649717514125,177.0,0.0
